"","GENE_ID","LUSC1","LUSC2","LUSC3","LUSC4","LUSC5","LUSC6","NORM1","NORM2","NORM3"
"45647","ENSG00000258436.1",0,0,0,0,0,0,0,0,0
"45648","ENSG00000258437.1",0,0,0,1,1,0,0,1,0
"45649","ENSG00000258438.3",0,0,0,0,0,0,0,0,0
"45650","ENSG00000258439.1",2,1,0,4,1,3,3,2,18
"45651","ENSG00000258440.1",0,0,0,0,0,0,0,0,0
"45652","ENSG00000258441.1",91,140,339,520,310,412,719,345,1493
"45653","ENSG00000258443.1",2,4,0,8,6,2,4,1,6
"45654","ENSG00000258444.1",0,0,0,0,0,0,0,0,0
"45655","ENSG00000258445.3",0,4,0,3,5,2,0,2,1
"45656","ENSG00000258446.1",10,0,7,5,3,1,1,0,0
"45657","ENSG00000258448.1",1,1,1,5,0,0,1,1,0
"45658","ENSG00000258449.1",1,0,0,4,1,0,0,0,0
"45659","ENSG00000258450.1",8,3,4,9,7,4,3,0,11
"45660","ENSG00000258451.1",2,7,0,10,5,3,3,1,5
"45661","ENSG00000258452.1",0,2,1,0,0,0,0,0,0
"45662","ENSG00000258453.2",0,0,0,0,0,0,0,0,0
"45663","ENSG00000258454.1",6,2,2,5,0,3,1,5,4
"45664","ENSG00000258455.1",2,1,1,1,2,0,0,0,1
"45665","ENSG00000258456.2",0,0,0,0,0,0,0,0,0
"45666","ENSG00000258457.4",30,30,22,32,75,17,38,30,35
"45667","ENSG00000258458.4",5,13,9,3,1,3,7,9,10
"45668","ENSG00000258459.1",0,0,0,0,0,3,0,0,0
"45669","ENSG00000258460.1",0,0,0,1,0,2,0,2,4
"45670","ENSG00000258461.4",8,115,24,112,29,44,68,179,363
"45671","ENSG00000258462.2",0,0,1,0,0,0,0,0,0
"45672","ENSG00000258463.1",0,0,0,0,0,0,0,0,0
"45673","ENSG00000258464.1",0,0,0,0,0,0,0,0,0
"45674","ENSG00000258465.5",2,2,6,5,1,1,6,2,4
"45675","ENSG00000258466.4",3,1,5,7,2,2,1,0,3
"45676","ENSG00000258467.1",0,0,0,0,0,0,1,0,1
"45677","ENSG00000258468.1",0,0,0,0,0,0,0,0,0
"45678","ENSG00000258469.1",17,22,46,49,36,15,28,28,66
"45679","ENSG00000258471.1",10,9,9,25,10,6,0,3,7
"45680","ENSG00000258472.7",104,161,104,90,145,56,9,43,68
"45681","ENSG00000258473.1",0,0,2,0,1,0,2,0,1
"45682","ENSG00000258474.1",0,23,3,1,1,1,0,1,1
